"","Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size"
"55",31099,"Propeller Plane","Creator 3-in-1",128,"$9.99 ","$9.84 ",2020,"Ages_6+",112,NA,"Box",NA,50,"Retail","Small"
"10",41917,"Magic Forest Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,9,"Retail","Small"
"191",41601,"Cyborg","BrickHeadz",108,"$9.99 ","$18.99 ",2018,"Ages_10+",32,NA,"Box",NA,48,NA,"Small"
"170",10882,"Train Tracks","DUPLO®",23,"$19.99 ","$17.99 ",2018,"Ages_2-5",16,NA,"Box","0.66Kg (1.45 lb)",9,"Retail","Large"
"177",71707,"Kai's Mech Jet","NINJAGO®",217,"$19.99 ","$17.99 ",2020,"Ages_7+",116,2,"Box",NA,94,"Retail","Small"
"99",70665,"The Samurai Mech","NINJAGO®",154,"$14.99 ","$14.99 ",2019,"Ages_7+",48,3,"Box","0.16Kg (0.35 lb)",71,"Retail","Small"
"165",41390,"Andrea's Car & Stage","Friends",240,"$19.99 ","$17.98 ",2020,"Ages_6+",68,2,"Box",NA,116,"Retail","Small"
"186",42084,"Hook Loader","Technic™",176,"$14.99 ","$18.88 ",2018,"Ages_7-14",104,NA,"Box","0.27Kg (0.59 lb)",48,"Retail","Small"
"27",41360,"Emma's Mobile Veterinary Clinic ","Friends",50,"$9.99 ","$8.99 ",2019,"Ages_4+",28,1,NA,"0.1Kg (0.22 lb)",35,NA,"Small"
"150",21158,"The Panda Nursery","Minecraft™",204,"$19.99 ","$17.34 ",2020,"Ages_7+",48,1,"Box",NA,76,"Retail","Small"
"7",41903,"Cosmic Wonder Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,9,"Retail","Small"
"37",75263,"Resistance Y-wing Microfighter","Star Wars™",86,"$9.99 ","$8.99 ",2020,"Ages_6+",40,1,"Box",NA,44,"Retail","Small"
"48",71716,"Lloyd Avatar - Arcade Pod","NINJAGO®",48,"$9.99 ","$9.84 ",2020,"Ages_7+",3,2,"Box with backing card",NA,28,"Retail","Small"
"93",41905,"Rainbow Jewellery Stand","DOTS",213,"$14.99 ","$14.97 ",2020,"Ages_6+",4,NA,"Plastic canister",NA,42,"Retail","Small"
"91",71372,"Cat Mario Power-Up Pack","LEGO® Super Mario™",11,"$9.99 ","$14.52 ",2020,"Ages_6+",NA,NA,"Box",NA,9,"Retail","Small"
"116",70672,"Cole's Dirt Bike","NINJAGO®",212,"$19.99 ","$15.99 ",2019,"Ages_8+",56,3,"Box",NA,97,"Retail","Small"
"114",76147,"Vulture's Trucker Robbery","Marvel",93,"$19.99 ","$15.99 ",2020,"Ages_4+",48,3,"Box",NA,62,"Retail","Small"
"104",41408,"Mia's Play Cube - Cinema","Friends",37,"$9.99 ","$15.32 ",2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small"
"144",70428,"Jack's Beach Buggy","Hidden Side",170,"$19.99 ","$16.99 ",2020,"Ages_7+",56,3,"Box",NA,98,"Retail","Small"
"2",41908,"Extra Dots - Series 1","DOTS",109,"$3.99 ","$3.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,6,"Retail","Small"
"164",31089,"Sunset Track Racer","Creator 3-in-1",221,"$19.99 ","$17.97 ",2019,"Ages_7+",144,NA,"Box","0.38Kg (0.84 lb)",81,"Retail","Small"
"33",71706,"Cole's Speeder Car","NINJAGO®",52,"$9.99 ","$8.99 ",2020,"Ages_4+",36,2,"Box",NA,32,"Retail","Small"
"82",60236,"Straight & T-Junction ","City",2,"$14.99 ","$13.49 ",2019,"Ages_5+",NA,NA,"Shrink-wrapped","0.2Kg (0.44 lb)",2,"Retail","Small"
"1",41916,"Extra Dots - Series 2","DOTS",109,"$3.99 ","$3.44 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,6,"Retail","Small"
"162",11002,"Basic Brick Set ","Classic",300,"$19.99 ","$17.97 ",2019,"Ages_4+",66,NA,NA,"0.44Kg (0.97 lb)",93,NA,"Small"
"131",43175,"Anna and Elsa's Storybook Adventures","LEGO® Frozen 2",133,"$19.99 ","$16.37 ",2020,"Ages_5+",3,4,"Box",NA,71,"Retail","Small"
"142",41354,"Andrea's Heart Box","Friends",84,"$7.99 ","$16.95 ",2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small"
